course_name,field,duration_years,description,skill_tags,rated
Bachelor of Business Administration,Agriculture,3,This course focuses on developing skills in agriculture and practical training in administration.,"project management, leadership",True
Bachelor of Business Administration,Law,4,This course focuses on developing skills in law and practical training in administration.,"communication, public speaking",False
Diploma in Marketing,Agriculture,5,This course focuses on developing skills in agriculture and practical training in marketing.,"critical thinking, research",False
Diploma in Film Production,Hospitality,2,This course focuses on developing skills in hospitality and practical training in production.,"programming, algorithms, software development",True
Diploma in Film Production,Hospitality,3,This course focuses on developing skills in hospitality and practical training in production.,"critical thinking, research",False
Diploma in Business Administration,Engineering,1,This course focuses on developing skills in engineering and practical training in administration.,"critical thinking, research",True
Certificate in Film Production,Psychology,2,This course focuses on developing skills in psychology and practical training in production.,"networking, cybersecurity",True
Bachelor of Film Production,Business,3,This course focuses on developing skills in business and practical training in production.,"networking, cybersecurity",True
Bachelor of Film Production,Business,6,This course focuses on developing skills in business and practical training in production.,"data analysis, statistics",False
Diploma in Culinary Arts,Computer Science,4,This course focuses on developing skills in computer science and practical training in arts.,"financial analysis, accounting",True
Bachelor of Psychology,Hospitality,5,This course focuses on developing skills in hospitality and practical training in psychology.,"financial analysis, accounting",False
Diploma in Graphic Design,Education,3,This course focuses on developing skills in education and practical training in design.,"communication, public speaking",False
Certificate in Project Management,Education,6,This course focuses on developing skills in education and practical training in management.,"programming, algorithms, software development",True
Certificate in Data Science,Computer Science,2,This course focuses on developing skills in computer science and practical training in science.,"data analysis, statistics",False
Certificate in Civil Engineering,Psychology,1,This course focuses on developing skills in psychology and practical training in engineering.,"programming, algorithms, software development",False
Certificate in Nursing,Engineering,1,This course focuses on developing skills in engineering and practical training in nursing.,"creative design, illustration",True
Certificate in Psychology,Media,6,This course focuses on developing skills in media and practical training in psychology.,"programming, algorithms, software development",True
Certificate in Data Science,Law,2,This course focuses on developing skills in law and practical training in science.,"clinical practice, patient care",False
Bachelor of Psychology,Design,6,This course focuses on developing skills in design and practical training in psychology.,"creative design, illustration",False
Certificate in Nursing,Law,4,This course focuses on developing skills in law and practical training in nursing.,"financial analysis, accounting",True
Diploma in Film Production,Law,2,This course focuses on developing skills in law and practical training in production.,"project management, leadership",True
Diploma in Nursing,Computer Science,1,This course focuses on developing skills in computer science and practical training in nursing.,"critical thinking, research",True
Diploma in Accounting,Agriculture,3,This course focuses on developing skills in agriculture and practical training in accounting.,"financial analysis, accounting",True
Diploma in Accounting,Psychology,6,This course focuses on developing skills in psychology and practical training in accounting.,"legal analysis, case interpretation",False
Bachelor of Project Management,Arts,6,This course focuses on developing skills in arts and practical training in management.,"clinical practice, patient care",True
Certificate in Computer Engineering,Psychology,5,This course focuses on developing skills in psychology and practical training in engineering.,"critical thinking, research",False
Certificate in Nursing,Law,4,This course focuses on developing skills in law and practical training in nursing.,"networking, cybersecurity",True
Bachelor of Film Production,Hospitality,5,This course focuses on developing skills in hospitality and practical training in production.,"financial analysis, accounting",False
Bachelor of Animal Health,Media,6,This course focuses on developing skills in media and practical training in health.,"financial analysis, accounting",False
Diploma in Animal Health,Design,2,This course focuses on developing skills in design and practical training in health.,"creative design, illustration",False
Certificate in Graphic Design,Computer Science,5,This course focuses on developing skills in computer science and practical training in design.,"data analysis, statistics",False
Certificate in Human Resource Management,Media,5,This course focuses on developing skills in media and practical training in management.,"communication, public speaking",True
Certificate in Marketing,Arts,5,This course focuses on developing skills in arts and practical training in marketing.,"programming, algorithms, software development",True
Bachelor of Agronomy,Hospitality,1,This course focuses on developing skills in hospitality and practical training in agronomy.,"critical thinking, research",False
Diploma in Film Production,Agriculture,2,This course focuses on developing skills in agriculture and practical training in production.,"critical thinking, research",True
Diploma in Marketing,Hospitality,6,This course focuses on developing skills in hospitality and practical training in marketing.,"legal analysis, case interpretation",False
Certificate in Software Development,Medicine,6,This course focuses on developing skills in medicine and practical training in development.,"communication, public speaking",True
Certificate in Journalism,Medicine,5,This course focuses on developing skills in medicine and practical training in journalism.,"networking, cybersecurity",True
Diploma in Agronomy,Medicine,5,This course focuses on developing skills in medicine and practical training in agronomy.,"project management, leadership",True
Certificate in Telecommunications,Arts,5,This course focuses on developing skills in arts and practical training in telecommunications.,"critical thinking, research",True
Bachelor of Film Production,Law,4,This course focuses on developing skills in law and practical training in production.,"communication, public speaking",True
Certificate in Culinary Arts,Medicine,5,This course focuses on developing skills in medicine and practical training in arts.,"programming, algorithms, software development",True
Certificate in Project Management,Engineering,1,This course focuses on developing skills in engineering and practical training in management.,"data analysis, statistics",True
Certificate in Culinary Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"creative design, illustration",True
Bachelor of Civil Engineering,Arts,4,This course focuses on developing skills in arts and practical training in engineering.,"project management, leadership",False
Diploma in Accounting,Media,4,This course focuses on developing skills in media and practical training in accounting.,"networking, cybersecurity",False
Bachelor of Computer Engineering,Engineering,4,This course focuses on developing skills in engineering and practical training in engineering.,"critical thinking, research",False
Bachelor of Culinary Arts,Medicine,4,This course focuses on developing skills in medicine and practical training in arts.,"financial analysis, accounting",True
Certificate in Marketing,Medicine,5,This course focuses on developing skills in medicine and practical training in marketing.,"communication, public speaking",True
Diploma in Nursing,Psychology,3,This course focuses on developing skills in psychology and practical training in nursing.,"project management, leadership",True
Diploma in Data Science,Media,2,This course focuses on developing skills in media and practical training in science.,"legal analysis, case interpretation",True
Diploma in Graphic Design,Psychology,1,This course focuses on developing skills in psychology and practical training in design.,"project management, leadership",True
Diploma in Psychology,Arts,1,This course focuses on developing skills in arts and practical training in psychology.,"networking, cybersecurity",False
Bachelor of Accounting,Agriculture,5,This course focuses on developing skills in agriculture and practical training in accounting.,"clinical practice, patient care",False
Bachelor of Psychology,Law,5,This course focuses on developing skills in law and practical training in psychology.,"critical thinking, research",True
Diploma in Project Management,Hospitality,1,This course focuses on developing skills in hospitality and practical training in management.,"programming, algorithms, software development",False
Bachelor of Civil Engineering,Design,2,This course focuses on developing skills in design and practical training in engineering.,"clinical practice, patient care",False
Diploma in Human Resource Management,Media,1,This course focuses on developing skills in media and practical training in management.,"financial analysis, accounting",True
Certificate in Cybersecurity,Law,2,This course focuses on developing skills in law and practical training in cybersecurity.,"clinical practice, patient care",False
Bachelor of Software Development,Education,3,This course focuses on developing skills in education and practical training in development.,"financial analysis, accounting",True
Diploma in Agronomy,Law,5,This course focuses on developing skills in law and practical training in agronomy.,"programming, algorithms, software development",True
Certificate in Human Resource Management,Media,1,This course focuses on developing skills in media and practical training in management.,"legal analysis, case interpretation",False
Diploma in Accounting,Hospitality,5,This course focuses on developing skills in hospitality and practical training in accounting.,"legal analysis, case interpretation",True
Diploma in Civil Engineering,Engineering,5,This course focuses on developing skills in engineering and practical training in engineering.,"communication, public speaking",True
Diploma in Computer Engineering,Arts,1,This course focuses on developing skills in arts and practical training in engineering.,"clinical practice, patient care",True
Certificate in Accounting,Education,2,This course focuses on developing skills in education and practical training in accounting.,"project management, leadership",False
Diploma in Psychology,Medicine,4,This course focuses on developing skills in medicine and practical training in psychology.,"creative design, illustration",False
Certificate in Animal Health,Hospitality,4,This course focuses on developing skills in hospitality and practical training in health.,"creative design, illustration",True
Certificate in Cybersecurity,Media,5,This course focuses on developing skills in media and practical training in cybersecurity.,"financial analysis, accounting",False
Diploma in Computer Engineering,Medicine,6,This course focuses on developing skills in medicine and practical training in engineering.,"creative design, illustration",False
Bachelor of Human Resource Management,Law,2,This course focuses on developing skills in law and practical training in management.,"critical thinking, research",True
Bachelor of Project Management,Hospitality,3,This course focuses on developing skills in hospitality and practical training in management.,"financial analysis, accounting",True
Certificate in Computer Engineering,Agriculture,1,This course focuses on developing skills in agriculture and practical training in engineering.,"communication, public speaking",True
Diploma in Nursing,Business,2,This course focuses on developing skills in business and practical training in nursing.,"creative design, illustration",False
Bachelor of Nursing,Medicine,1,This course focuses on developing skills in medicine and practical training in nursing.,"networking, cybersecurity",False
Certificate in Graphic Design,Engineering,5,This course focuses on developing skills in engineering and practical training in design.,"programming, algorithms, software development",False
Certificate in Project Management,Arts,1,This course focuses on developing skills in arts and practical training in management.,"communication, public speaking",False
Diploma in Project Management,Agriculture,4,This course focuses on developing skills in agriculture and practical training in management.,"networking, cybersecurity",False
Certificate in Project Management,Arts,1,This course focuses on developing skills in arts and practical training in management.,"financial analysis, accounting",True
Bachelor of Fine Arts,Hospitality,5,This course focuses on developing skills in hospitality and practical training in arts.,"communication, public speaking",True
Bachelor of Computer Engineering,Medicine,5,This course focuses on developing skills in medicine and practical training in engineering.,"clinical practice, patient care",True
Certificate in Project Management,Medicine,6,This course focuses on developing skills in medicine and practical training in management.,"financial analysis, accounting",True
Diploma in Film Production,Arts,6,This course focuses on developing skills in arts and practical training in production.,"financial analysis, accounting",False
Diploma in Marketing,Education,5,This course focuses on developing skills in education and practical training in marketing.,"project management, leadership",False
Diploma in Civil Engineering,Engineering,1,This course focuses on developing skills in engineering and practical training in engineering.,"critical thinking, research",False
Diploma in Fine Arts,Business,6,This course focuses on developing skills in business and practical training in arts.,"legal analysis, case interpretation",False
Bachelor of Accounting,Law,4,This course focuses on developing skills in law and practical training in accounting.,"project management, leadership",True
Certificate in Graphic Design,Hospitality,1,This course focuses on developing skills in hospitality and practical training in design.,"programming, algorithms, software development",False
Bachelor of Graphic Design,Engineering,2,This course focuses on developing skills in engineering and practical training in design.,"networking, cybersecurity",True
Diploma in Psychology,Hospitality,4,This course focuses on developing skills in hospitality and practical training in psychology.,"legal analysis, case interpretation",True
Bachelor of Nursing,Hospitality,2,This course focuses on developing skills in hospitality and practical training in nursing.,"financial analysis, accounting",False
Bachelor of Human Resource Management,Agriculture,3,This course focuses on developing skills in agriculture and practical training in management.,"legal analysis, case interpretation",False
Certificate in Film Production,Hospitality,4,This course focuses on developing skills in hospitality and practical training in production.,"project management, leadership",True
Bachelor of Fine Arts,Arts,3,This course focuses on developing skills in arts and practical training in arts.,"critical thinking, research",True
Bachelor of Culinary Arts,Design,3,This course focuses on developing skills in design and practical training in arts.,"legal analysis, case interpretation",True
Bachelor of Human Resource Management,Arts,5,This course focuses on developing skills in arts and practical training in management.,"programming, algorithms, software development",True
Diploma in Film Production,Agriculture,5,This course focuses on developing skills in agriculture and practical training in production.,"networking, cybersecurity",False
Diploma in Journalism,Arts,1,This course focuses on developing skills in arts and practical training in journalism.,"data analysis, statistics",True
Bachelor of Data Science,Law,2,This course focuses on developing skills in law and practical training in science.,"clinical practice, patient care",True
Bachelor of Human Resource Management,Media,5,This course focuses on developing skills in media and practical training in management.,"communication, public speaking",True
Bachelor of Software Development,Arts,5,This course focuses on developing skills in arts and practical training in development.,"legal analysis, case interpretation",True
Certificate in Accounting,Hospitality,1,This course focuses on developing skills in hospitality and practical training in accounting.,"financial analysis, accounting",True
Diploma in Accounting,Education,5,This course focuses on developing skills in education and practical training in accounting.,"networking, cybersecurity",True
Bachelor of Fine Arts,Agriculture,4,This course focuses on developing skills in agriculture and practical training in arts.,"clinical practice, patient care",True
Bachelor of Agronomy,Arts,2,This course focuses on developing skills in arts and practical training in agronomy.,"creative design, illustration",False
Diploma in Human Resource Management,Design,6,This course focuses on developing skills in design and practical training in management.,"critical thinking, research",False
Certificate in Fine Arts,Media,6,This course focuses on developing skills in media and practical training in arts.,"data analysis, statistics",False
Certificate in Business Administration,Engineering,4,This course focuses on developing skills in engineering and practical training in administration.,"creative design, illustration",False
Certificate in Animal Health,Design,4,This course focuses on developing skills in design and practical training in health.,"communication, public speaking",False
Diploma in Psychology,Engineering,4,This course focuses on developing skills in engineering and practical training in psychology.,"project management, leadership",True
Diploma in Computer Engineering,Medicine,6,This course focuses on developing skills in medicine and practical training in engineering.,"communication, public speaking",True
Certificate in Marketing,Psychology,1,This course focuses on developing skills in psychology and practical training in marketing.,"project management, leadership",False
Certificate in Nursing,Business,2,This course focuses on developing skills in business and practical training in nursing.,"communication, public speaking",False
Diploma in Civil Engineering,Engineering,1,This course focuses on developing skills in engineering and practical training in engineering.,"financial analysis, accounting",False
Certificate in Software Development,Design,4,This course focuses on developing skills in design and practical training in development.,"project management, leadership",False
Diploma in Civil Engineering,Media,2,This course focuses on developing skills in media and practical training in engineering.,"programming, algorithms, software development",True
Certificate in Computer Engineering,Design,1,This course focuses on developing skills in design and practical training in engineering.,"creative design, illustration",True
Bachelor of Computer Engineering,Psychology,3,This course focuses on developing skills in psychology and practical training in engineering.,"financial analysis, accounting",True
Certificate in Agronomy,Agriculture,2,This course focuses on developing skills in agriculture and practical training in agronomy.,"critical thinking, research",False
Certificate in Software Development,Design,4,This course focuses on developing skills in design and practical training in development.,"communication, public speaking",True
Bachelor of Computer Engineering,Computer Science,3,This course focuses on developing skills in computer science and practical training in engineering.,"communication, public speaking",True
Bachelor of Marketing,Education,1,This course focuses on developing skills in education and practical training in marketing.,"critical thinking, research",True
Bachelor of Nursing,Medicine,4,This course focuses on developing skills in medicine and practical training in nursing.,"networking, cybersecurity",False
Diploma in Fine Arts,Education,2,This course focuses on developing skills in education and practical training in arts.,"communication, public speaking",False
Certificate in Film Production,Agriculture,1,This course focuses on developing skills in agriculture and practical training in production.,"critical thinking, research",True
Diploma in Agronomy,Hospitality,6,This course focuses on developing skills in hospitality and practical training in agronomy.,"financial analysis, accounting",True
Diploma in Psychology,Hospitality,4,This course focuses on developing skills in hospitality and practical training in psychology.,"programming, algorithms, software development",False
Diploma in Culinary Arts,Hospitality,5,This course focuses on developing skills in hospitality and practical training in arts.,"communication, public speaking",True
Bachelor of Journalism,Computer Science,3,This course focuses on developing skills in computer science and practical training in journalism.,"networking, cybersecurity",False
Certificate in Graphic Design,Arts,2,This course focuses on developing skills in arts and practical training in design.,"communication, public speaking",True
Bachelor of Business Administration,Medicine,1,This course focuses on developing skills in medicine and practical training in administration.,"clinical practice, patient care",True
Diploma in Data Science,Law,1,This course focuses on developing skills in law and practical training in science.,"legal analysis, case interpretation",True
Bachelor of Animal Health,Agriculture,2,This course focuses on developing skills in agriculture and practical training in health.,"legal analysis, case interpretation",True
Diploma in Human Resource Management,Psychology,5,This course focuses on developing skills in psychology and practical training in management.,"data analysis, statistics",False
Bachelor of Computer Engineering,Media,5,This course focuses on developing skills in media and practical training in engineering.,"networking, cybersecurity",False
Certificate in Data Science,Agriculture,1,This course focuses on developing skills in agriculture and practical training in science.,"programming, algorithms, software development",True
Certificate in Film Production,Law,4,This course focuses on developing skills in law and practical training in production.,"clinical practice, patient care",True
Certificate in Project Management,Medicine,3,This course focuses on developing skills in medicine and practical training in management.,"creative design, illustration",False
Certificate in Nursing,Medicine,5,This course focuses on developing skills in medicine and practical training in nursing.,"creative design, illustration",False
Bachelor of Film Production,Education,1,This course focuses on developing skills in education and practical training in production.,"clinical practice, patient care",True
Diploma in Human Resource Management,Hospitality,6,This course focuses on developing skills in hospitality and practical training in management.,"clinical practice, patient care",False
Diploma in Data Science,Education,1,This course focuses on developing skills in education and practical training in science.,"programming, algorithms, software development",True
Diploma in Project Management,Education,4,This course focuses on developing skills in education and practical training in management.,"critical thinking, research",True
Bachelor of Data Science,Psychology,3,This course focuses on developing skills in psychology and practical training in science.,"legal analysis, case interpretation",False
Certificate in Software Development,Psychology,3,This course focuses on developing skills in psychology and practical training in development.,"networking, cybersecurity",False
Diploma in Film Production,Medicine,6,This course focuses on developing skills in medicine and practical training in production.,"clinical practice, patient care",False
Certificate in Psychology,Business,1,This course focuses on developing skills in business and practical training in psychology.,"programming, algorithms, software development",False
Certificate in Data Science,Computer Science,1,This course focuses on developing skills in computer science and practical training in science.,"financial analysis, accounting",True
Certificate in Civil Engineering,Hospitality,6,This course focuses on developing skills in hospitality and practical training in engineering.,"financial analysis, accounting",False
Certificate in Animal Health,Computer Science,3,This course focuses on developing skills in computer science and practical training in health.,"critical thinking, research",True
Diploma in Agronomy,Education,4,This course focuses on developing skills in education and practical training in agronomy.,"financial analysis, accounting",True
Bachelor of Psychology,Hospitality,4,This course focuses on developing skills in hospitality and practical training in psychology.,"communication, public speaking",True
Diploma in Animal Health,Medicine,1,This course focuses on developing skills in medicine and practical training in health.,"financial analysis, accounting",True
Diploma in Animal Health,Design,4,This course focuses on developing skills in design and practical training in health.,"project management, leadership",False
Bachelor of Software Development,Media,5,This course focuses on developing skills in media and practical training in development.,"clinical practice, patient care",True
Diploma in Telecommunications,Psychology,1,This course focuses on developing skills in psychology and practical training in telecommunications.,"networking, cybersecurity",False
Diploma in Telecommunications,Media,4,This course focuses on developing skills in media and practical training in telecommunications.,"programming, algorithms, software development",False
Diploma in Accounting,Medicine,5,This course focuses on developing skills in medicine and practical training in accounting.,"creative design, illustration",False
Bachelor of Fine Arts,Psychology,3,This course focuses on developing skills in psychology and practical training in arts.,"clinical practice, patient care",False
Certificate in Animal Health,Business,6,This course focuses on developing skills in business and practical training in health.,"networking, cybersecurity",True
Diploma in Accounting,Arts,1,This course focuses on developing skills in arts and practical training in accounting.,"programming, algorithms, software development",True
Diploma in Business Administration,Engineering,5,This course focuses on developing skills in engineering and practical training in administration.,"project management, leadership",False
Certificate in Fine Arts,Computer Science,3,This course focuses on developing skills in computer science and practical training in arts.,"communication, public speaking",True
Diploma in Cybersecurity,Psychology,5,This course focuses on developing skills in psychology and practical training in cybersecurity.,"networking, cybersecurity",True
Certificate in Human Resource Management,Agriculture,4,This course focuses on developing skills in agriculture and practical training in management.,"communication, public speaking",False
Bachelor of Project Management,Law,3,This course focuses on developing skills in law and practical training in management.,"communication, public speaking",False
Diploma in Project Management,Engineering,4,This course focuses on developing skills in engineering and practical training in management.,"clinical practice, patient care",True
Certificate in Graphic Design,Media,6,This course focuses on developing skills in media and practical training in design.,"clinical practice, patient care",True
Certificate in Graphic Design,Media,2,This course focuses on developing skills in media and practical training in design.,"legal analysis, case interpretation",False
Certificate in Journalism,Psychology,3,This course focuses on developing skills in psychology and practical training in journalism.,"critical thinking, research",False
Certificate in Project Management,Design,1,This course focuses on developing skills in design and practical training in management.,"communication, public speaking",False
Bachelor of Journalism,Medicine,4,This course focuses on developing skills in medicine and practical training in journalism.,"legal analysis, case interpretation",False
Certificate in Graphic Design,Hospitality,1,This course focuses on developing skills in hospitality and practical training in design.,"critical thinking, research",True
Bachelor of Psychology,Hospitality,4,This course focuses on developing skills in hospitality and practical training in psychology.,"communication, public speaking",False
Bachelor of Agronomy,Psychology,4,This course focuses on developing skills in psychology and practical training in agronomy.,"data analysis, statistics",False
Diploma in Journalism,Agriculture,6,This course focuses on developing skills in agriculture and practical training in journalism.,"programming, algorithms, software development",True
Certificate in Graphic Design,Arts,1,This course focuses on developing skills in arts and practical training in design.,"project management, leadership",True
Bachelor of Marketing,Medicine,3,This course focuses on developing skills in medicine and practical training in marketing.,"networking, cybersecurity",False
Certificate in Culinary Arts,Engineering,1,This course focuses on developing skills in engineering and practical training in arts.,"financial analysis, accounting",True
Certificate in Business Administration,Business,5,This course focuses on developing skills in business and practical training in administration.,"data analysis, statistics",True
Certificate in Journalism,Medicine,3,This course focuses on developing skills in medicine and practical training in journalism.,"critical thinking, research",False
Certificate in Agronomy,Arts,4,This course focuses on developing skills in arts and practical training in agronomy.,"creative design, illustration",False
Certificate in Graphic Design,Design,4,This course focuses on developing skills in design and practical training in design.,"communication, public speaking",True
Certificate in Software Development,Design,5,This course focuses on developing skills in design and practical training in development.,"communication, public speaking",False
Bachelor of Cybersecurity,Engineering,2,This course focuses on developing skills in engineering and practical training in cybersecurity.,"networking, cybersecurity",True
Certificate in Software Development,Law,3,This course focuses on developing skills in law and practical training in development.,"legal analysis, case interpretation",True
Diploma in Film Production,Law,5,This course focuses on developing skills in law and practical training in production.,"programming, algorithms, software development",True
Bachelor of Graphic Design,Psychology,4,This course focuses on developing skills in psychology and practical training in design.,"networking, cybersecurity",False
Diploma in Business Administration,Business,4,This course focuses on developing skills in business and practical training in administration.,"project management, leadership",False
Certificate in Agronomy,Psychology,2,This course focuses on developing skills in psychology and practical training in agronomy.,"project management, leadership",True
Bachelor of Software Development,Computer Science,2,This course focuses on developing skills in computer science and practical training in development.,"financial analysis, accounting",False
Bachelor of Software Development,Business,2,This course focuses on developing skills in business and practical training in development.,"networking, cybersecurity",True
Certificate in Data Science,Computer Science,4,This course focuses on developing skills in computer science and practical training in science.,"clinical practice, patient care",True
Certificate in Film Production,Law,1,This course focuses on developing skills in law and practical training in production.,"clinical practice, patient care",False
Certificate in Animal Health,Computer Science,2,This course focuses on developing skills in computer science and practical training in health.,"communication, public speaking",True
Certificate in Project Management,Law,2,This course focuses on developing skills in law and practical training in management.,"critical thinking, research",True
Certificate in Animal Health,Psychology,3,This course focuses on developing skills in psychology and practical training in health.,"programming, algorithms, software development",False
Diploma in Project Management,Psychology,1,This course focuses on developing skills in psychology and practical training in management.,"networking, cybersecurity",True
Certificate in Psychology,Medicine,4,This course focuses on developing skills in medicine and practical training in psychology.,"project management, leadership",False
Certificate in Marketing,Psychology,2,This course focuses on developing skills in psychology and practical training in marketing.,"legal analysis, case interpretation",False
Bachelor of Psychology,Media,2,This course focuses on developing skills in media and practical training in psychology.,"communication, public speaking",True
Diploma in Project Management,Hospitality,4,This course focuses on developing skills in hospitality and practical training in management.,"programming, algorithms, software development",True
Bachelor of Journalism,Medicine,6,This course focuses on developing skills in medicine and practical training in journalism.,"data analysis, statistics",False
Diploma in Software Development,Agriculture,2,This course focuses on developing skills in agriculture and practical training in development.,"financial analysis, accounting",True
Certificate in Software Development,Business,1,This course focuses on developing skills in business and practical training in development.,"financial analysis, accounting",False
Diploma in Film Production,Computer Science,2,This course focuses on developing skills in computer science and practical training in production.,"clinical practice, patient care",False
Certificate in Project Management,Education,3,This course focuses on developing skills in education and practical training in management.,"data analysis, statistics",False
Certificate in Civil Engineering,Design,1,This course focuses on developing skills in design and practical training in engineering.,"data analysis, statistics",False
Certificate in Business Administration,Engineering,1,This course focuses on developing skills in engineering and practical training in administration.,"communication, public speaking",True
Certificate in Project Management,Engineering,1,This course focuses on developing skills in engineering and practical training in management.,"networking, cybersecurity",False
Bachelor of Graphic Design,Education,1,This course focuses on developing skills in education and practical training in design.,"communication, public speaking",False
Certificate in Journalism,Arts,4,This course focuses on developing skills in arts and practical training in journalism.,"creative design, illustration",False
Bachelor of Marketing,Hospitality,5,This course focuses on developing skills in hospitality and practical training in marketing.,"programming, algorithms, software development",False
Certificate in Animal Health,Law,3,This course focuses on developing skills in law and practical training in health.,"networking, cybersecurity",True
Bachelor of Business Administration,Hospitality,2,This course focuses on developing skills in hospitality and practical training in administration.,"programming, algorithms, software development",True
Certificate in Computer Engineering,Hospitality,3,This course focuses on developing skills in hospitality and practical training in engineering.,"programming, algorithms, software development",True
Diploma in Software Development,Media,6,This course focuses on developing skills in media and practical training in development.,"creative design, illustration",True
Bachelor of Software Development,Business,2,This course focuses on developing skills in business and practical training in development.,"communication, public speaking",True
Diploma in Computer Engineering,Psychology,5,This course focuses on developing skills in psychology and practical training in engineering.,"clinical practice, patient care",False
Bachelor of Civil Engineering,Design,3,This course focuses on developing skills in design and practical training in engineering.,"data analysis, statistics",True
Diploma in Psychology,Arts,5,This course focuses on developing skills in arts and practical training in psychology.,"clinical practice, patient care",False
Bachelor of Nursing,Law,3,This course focuses on developing skills in law and practical training in nursing.,"project management, leadership",True
Diploma in Psychology,Psychology,3,This course focuses on developing skills in psychology and practical training in psychology.,"communication, public speaking",True
Certificate in Graphic Design,Engineering,2,This course focuses on developing skills in engineering and practical training in design.,"clinical practice, patient care",True
Diploma in Human Resource Management,Agriculture,5,This course focuses on developing skills in agriculture and practical training in management.,"programming, algorithms, software development",False
Diploma in Computer Engineering,Arts,1,This course focuses on developing skills in arts and practical training in engineering.,"financial analysis, accounting",True
Certificate in Accounting,Computer Science,4,This course focuses on developing skills in computer science and practical training in accounting.,"financial analysis, accounting",True
Diploma in Civil Engineering,Agriculture,4,This course focuses on developing skills in agriculture and practical training in engineering.,"project management, leadership",True
Bachelor of Human Resource Management,Law,6,This course focuses on developing skills in law and practical training in management.,"data analysis, statistics",True
Bachelor of Computer Engineering,Media,3,This course focuses on developing skills in media and practical training in engineering.,"project management, leadership",True
Diploma in Graphic Design,Media,4,This course focuses on developing skills in media and practical training in design.,"networking, cybersecurity",True
Certificate in Telecommunications,Computer Science,6,This course focuses on developing skills in computer science and practical training in telecommunications.,"clinical practice, patient care",False
Diploma in Journalism,Agriculture,3,This course focuses on developing skills in agriculture and practical training in journalism.,"communication, public speaking",False
Diploma in Nursing,Education,1,This course focuses on developing skills in education and practical training in nursing.,"programming, algorithms, software development",False
Bachelor of Human Resource Management,Business,6,This course focuses on developing skills in business and practical training in management.,"legal analysis, case interpretation",True
Bachelor of Business Administration,Law,2,This course focuses on developing skills in law and practical training in administration.,"financial analysis, accounting",True
Certificate in Project Management,Psychology,1,This course focuses on developing skills in psychology and practical training in management.,"project management, leadership",True
Certificate in Accounting,Media,6,This course focuses on developing skills in media and practical training in accounting.,"legal analysis, case interpretation",False
Bachelor of Culinary Arts,Medicine,2,This course focuses on developing skills in medicine and practical training in arts.,"programming, algorithms, software development",False
Bachelor of Graphic Design,Agriculture,1,This course focuses on developing skills in agriculture and practical training in design.,"project management, leadership",False
Bachelor of Business Administration,Design,3,This course focuses on developing skills in design and practical training in administration.,"clinical practice, patient care",False
Bachelor of Culinary Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"legal analysis, case interpretation",True
Certificate in Business Administration,Media,1,This course focuses on developing skills in media and practical training in administration.,"critical thinking, research",False
Bachelor of Software Development,Hospitality,3,This course focuses on developing skills in hospitality and practical training in development.,"project management, leadership",False
Certificate in Data Science,Media,4,This course focuses on developing skills in media and practical training in science.,"legal analysis, case interpretation",True
Bachelor of Cybersecurity,Education,5,This course focuses on developing skills in education and practical training in cybersecurity.,"communication, public speaking",True
Certificate in Animal Health,Design,4,This course focuses on developing skills in design and practical training in health.,"networking, cybersecurity",False
Diploma in Graphic Design,Psychology,4,This course focuses on developing skills in psychology and practical training in design.,"data analysis, statistics",False
Bachelor of Nursing,Law,1,This course focuses on developing skills in law and practical training in nursing.,"communication, public speaking",True
Bachelor of Animal Health,Computer Science,5,This course focuses on developing skills in computer science and practical training in health.,"legal analysis, case interpretation",False
Certificate in Software Development,Computer Science,4,This course focuses on developing skills in computer science and practical training in development.,"legal analysis, case interpretation",False
Bachelor of Human Resource Management,Engineering,3,This course focuses on developing skills in engineering and practical training in management.,"clinical practice, patient care",True
Diploma in Civil Engineering,Computer Science,2,This course focuses on developing skills in computer science and practical training in engineering.,"financial analysis, accounting",True
Diploma in Civil Engineering,Computer Science,3,This course focuses on developing skills in computer science and practical training in engineering.,"project management, leadership",False
Bachelor of Graphic Design,Engineering,2,This course focuses on developing skills in engineering and practical training in design.,"programming, algorithms, software development",True
Diploma in Fine Arts,Psychology,2,This course focuses on developing skills in psychology and practical training in arts.,"communication, public speaking",True
Bachelor of Marketing,Education,6,This course focuses on developing skills in education and practical training in marketing.,"project management, leadership",True
Certificate in Animal Health,Agriculture,3,This course focuses on developing skills in agriculture and practical training in health.,"clinical practice, patient care",True
Diploma in Business Administration,Law,5,This course focuses on developing skills in law and practical training in administration.,"programming, algorithms, software development",False
Diploma in Nursing,Medicine,6,This course focuses on developing skills in medicine and practical training in nursing.,"legal analysis, case interpretation",False
Diploma in Nursing,Agriculture,1,This course focuses on developing skills in agriculture and practical training in nursing.,"creative design, illustration",False
Diploma in Telecommunications,Psychology,2,This course focuses on developing skills in psychology and practical training in telecommunications.,"creative design, illustration",False
Diploma in Cybersecurity,Engineering,5,This course focuses on developing skills in engineering and practical training in cybersecurity.,"clinical practice, patient care",True
Diploma in Fine Arts,Medicine,1,This course focuses on developing skills in medicine and practical training in arts.,"data analysis, statistics",True
Bachelor of Telecommunications,Hospitality,4,This course focuses on developing skills in hospitality and practical training in telecommunications.,"project management, leadership",True
