course_name,job_applicability,future_trends,automation_risk
Public Health,"Graduates of Public Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Public Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Environmental Studies,"Graduates of Environmental Studies can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Environmental Studies is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Economics,"Graduates of Economics can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Economics is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Horticulture,"Graduates of Horticulture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Horticulture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Law,"Graduates of Law can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Law is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Fashion Design,"Graduates of Fashion Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Fashion Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Education Science,"Graduates of Education Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Accounting,"Graduates of Accounting can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Accounting is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Data Science,"Graduates of Data Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Data Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Civil Engineering,"Graduates of Civil Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Civil Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Public Health,"Graduates of Public Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Public Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Nursing,"Graduates of Nursing can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Nursing is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Marketing,"Graduates of Marketing can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Marketing is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Hospitality Management,"Graduates of Hospitality Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hospitality Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Welding and Fabrication,"Graduates of Welding and Fabrication can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Welding and Fabrication is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Information Technology,"Graduates of Information Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Information Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Environmental Studies,"Graduates of Environmental Studies can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Environmental Studies is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Education Science,"Graduates of Education Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Hairdressing and Beauty Therapy,"Graduates of Hairdressing and Beauty Therapy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hairdressing and Beauty Therapy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Information Technology,"Graduates of Information Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Information Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Mechanical Engineering,"Graduates of Mechanical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Mechanical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Information Technology,"Graduates of Information Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Information Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Electrical Installation,"Graduates of Electrical Installation can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Installation is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Business Administration,"Graduates of Business Administration can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Business Administration is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Education Science,"Graduates of Education Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Environmental Studies,"Graduates of Environmental Studies can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Environmental Studies is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Welding and Fabrication,"Graduates of Welding and Fabrication can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Welding and Fabrication is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Marketing,"Graduates of Marketing can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Marketing is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Agriculture,"Graduates of Agriculture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Agriculture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Economics,"Graduates of Economics can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Economics is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Tourism Management,"Graduates of Tourism Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Tourism Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Education Arts,"Graduates of Education Arts can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Arts is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Agriculture,"Graduates of Agriculture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Agriculture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Building Technology,"Graduates of Building Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Building Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Horticulture,"Graduates of Horticulture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Horticulture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Mechanical Engineering,"Graduates of Mechanical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Mechanical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Environmental Studies,"Graduates of Environmental Studies can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Environmental Studies is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Education Arts,"Graduates of Education Arts can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Arts is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Fashion Design,"Graduates of Fashion Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Fashion Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Hairdressing and Beauty Therapy,"Graduates of Hairdressing and Beauty Therapy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hairdressing and Beauty Therapy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Fashion Design,"Graduates of Fashion Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Fashion Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Tourism Management,"Graduates of Tourism Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Tourism Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Agriculture,"Graduates of Agriculture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Agriculture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Graphic Design,"Graduates of Graphic Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Graphic Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Education Arts,"Graduates of Education Arts can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Arts is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Graphic Design,"Graduates of Graphic Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Graphic Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Graphic Design,"Graduates of Graphic Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Graphic Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Public Health,"Graduates of Public Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Public Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Food and Beverage Production,"Graduates of Food and Beverage Production can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Food and Beverage Production is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Business Administration,"Graduates of Business Administration can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Business Administration is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Medicine,"Graduates of Medicine can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Medicine is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Journalism,"Graduates of Journalism can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Journalism is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Hospitality Management,"Graduates of Hospitality Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hospitality Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Hospitality Management,"Graduates of Hospitality Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hospitality Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Horticulture,"Graduates of Horticulture can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Horticulture is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Welding and Fabrication,"Graduates of Welding and Fabrication can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Welding and Fabrication is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Hospitality Management,"Graduates of Hospitality Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hospitality Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Welding and Fabrication,"Graduates of Welding and Fabrication can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Welding and Fabrication is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Nursing,"Graduates of Nursing can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Nursing is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Business Administration,"Graduates of Business Administration can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Business Administration is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Environmental Studies,"Graduates of Environmental Studies can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Environmental Studies is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Human Resource Management,"Graduates of Human Resource Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Human Resource Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Human Resource Management,"Graduates of Human Resource Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Human Resource Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Fashion Design,"Graduates of Fashion Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Fashion Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Marketing,"Graduates of Marketing can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Marketing is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Mechanical Engineering,"Graduates of Mechanical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Mechanical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Public Health,"Graduates of Public Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Public Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Building Technology,"Graduates of Building Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Building Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Criminology,"Graduates of Criminology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Criminology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Welding and Fabrication,"Graduates of Welding and Fabrication can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Welding and Fabrication is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Hospitality Management,"Graduates of Hospitality Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Hospitality Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Building Technology,"Graduates of Building Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Building Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Pharmacy,"Graduates of Pharmacy can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Pharmacy is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Accounting,"Graduates of Accounting can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Accounting is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Food and Beverage Production,"Graduates of Food and Beverage Production can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Food and Beverage Production is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Building Technology,"Graduates of Building Technology can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Building Technology is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Data Science,"Graduates of Data Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Data Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Software Engineering,"Graduates of Software Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Software Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
